COD_ID;FECHA_MUE;DIA;MES;YEAR;COD_PAIS;ESTRATO_RIM;METIER_DCF;COD_PUERTO;COD_TIPO_MUE;COD_ESP_MUE;COD_CATEGORIA;P_DESEM
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10173;1411;0.1644
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10220;1421;2.1372
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;30191;1411;0.939135
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10723;1411;0.223995
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10798;1411;0.815835
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10798;1412;0.65349
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10798;1413;2.877
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10798;1414;0.367845
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10798;1415;2.9181
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10798;1416;4.29495
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1421;9.2064
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1422;8.485095
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1423;3.44418
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1424;0.992565
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1425;1.24944
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1426;0.80556
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1441;1.350135
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1442;0.963795
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1443;1.45905
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1444;0.30414
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10821;1445;0.67815
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;30171;1411;0.4521
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;30171;1412;1.2741
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;30171;1413;4.37715
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10489;1411;0.096585
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10262;1431;0.57129
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10864;1411;5.69235
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10864;1412;2.32215
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10864;1413;0.43155
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10864;1414;0.4521
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;11168;1411;0.248655
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10726;1411;0.4932
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10726;1412;0.9453
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10273;1411;0.10686
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10320;1411;0.433605
201901048;01-04-19;1;4;2019;724;BACA_CN;OTB_DEF_>=55_0_0;1417;2;10320;1412;0.19728
201901128;01-04-19;1;4;2019;724;BETA_CN;GNS_DEF_60-79_0_0;0914;2;10283;0901;5.9595
201901128;01-04-19;1;4;2019;724;BETA_CN;GNS_DEF_60-79_0_0;0914;2;10540;0901;0.667875
201901128;01-04-19;1;4;2019;724;BETA_CN;GNS_DEF_60-79_0_0;0914;2;10270;0901;0.51375
201901128;01-04-19;1;4;2019;724;BETA_CN;GNS_DEF_60-79_0_0;0914;2;10413;0901;7.91175
201901128;01-04-19;1;4;2019;724;BETA_CN;GNS_DEF_60-79_0_0;0914;2;10273;0901;1.777575
201901096;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10156;1401;1952.25
201901135;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10156;1401;2147.475
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;11000;1401;0.3288
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10522;1401;98.64
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10492;1401;7.3158
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10526;1402;2.3838
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10489;1411;5.2608
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10489;1412;3.3291
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10489;1413;3.10305
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10489;1414;5.5896
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10413;1411;47.9226
201900964;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;1417;2;10413;1412;1.95225
201901127;01-04-19;1;4;2019;724;CERCO_CN;PS_SPF_0_0_0;0917;2;10492;0901;174.264
201901111;01-04-19;1;4;2019;724;CERCO_GC;;0103;1;10522;0101;24.87372
201901111;01-04-19;1;4;2019;724;CERCO_GC;;0103;1;10407;0101;1.526865
201901111;01-04-19;1;4;2019;724;CERCO_GC;;0103;1;10642;0101;44.44965
201901111;01-04-19;1;4;2019;724;CERCO_GC;;0103;1;10413;0101;27.87813
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10723;0901;0.54663
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10798;0901;4.41825
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10821;0901;0.92475
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10821;0904;20.24175
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0902;113.025
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0904;631.80975
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0905;189.57375
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0906;840.906
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0907;264.684
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0908;651.6405
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0909;1207.107
201900900;01-04-19;1;4;2019;724;ENMALLE_AC;GNS_DEF_>=100_0_0;0926;2;10283;0910;1248.4125
